RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
Sin Vergüenza;Av. Providencia 1072, Providencia, Chile;Sprite 350 ml;Bebida.
Yatai Sushi Nikkei Las Condes;Alonso de Córdova 5320, 2a, Las Condes, Chile;Sprite Zero 350 ml;Bebida
Fresco & Limon;El Aguilucho 3181, Providencia, Chile;Salmón Ahumado;Salmón ahumado en láminas con receta de la casa, 4 tostadas y salsa lactonesa de la casa.
Underwok;Av. Vitacura 2914, Las Condes, Región Metropolitana, Chile;Sprite 250 ml;Bebida
Kao Asian Food;Diecinueve de Abril 3540, Ñuñoa, Chile;Curry Rojo Veggie;Wok salteado con curry rojo, tofu, cebollín, porotos verdes chinos, choclo cóctel, champignon, maní tostado y leche de coco. Picante
Benjamn Alvarado Gastronomia;Teniente Montt 1980, Santiago, Ñuñoa 7770197, Región Metropolitana, Chile;Aji de Gallina;Clásico plato peruano, pechuga de pollo desmenuzada con salsa de ají amarillo, 4 porciones.
Kyoka Sushi;Avenida Cristobal colon 8669, Región Metropolitana, Chile;Ceviche Mixto;Reineta camaron kanikama  marinado en limon aderesado con rocoto y especias cebolla morada y cilantro  acompañado con cancha papa hilos .
The Vurger Ñuñoa;Av. Sucre 2515, Ñuñoa, Chile;Fanta Naranja Sin Azúcar 350 ml;Bebida
Menutogo;Buenaventura 1827, Vitacura, Región Metropolitana, Chile;Kura Agua Nativa Sin Gas 375 ml;Aguas
Raffaella Cucina Napoletana;Ntra. Sra. del Rosario 21, Las Condes, 7560763, Región Metropolitana, Chile;Sprite Zero;Sprite zero
Que Chulada;El Aguilucho 3181, Providencia, Región Metropolitana, Chile;Agua Mineral con Gas 500 Cc;500 Cc .
Etienne Marcel Ñuñoa;Tte Compton 203, Ñuñoa, Chile;Aguas;Agua con gas 600mlagua sin gas 600 ml.
El Pan de Cada Dia;Lo arcaya 1707;Galletón Mantequilla Maní;Galletón con mantequilla y maní. .
El Pan de Cada Dia Providencia;Miguel Claro 2052, Providencia, Chile;Ensalada Cesar;Mix de lechugas hidropónicas, queso parmesano, crutones caseros y salsa césar.
Dulce Barquillo;Bravo 911, Providencia, Región Metropolitana, Chile;24 Medios Barquillos Nutella;Caja de 24 medios barquillos crujientes con una fina capa de chocolate en su interior, relleno con nutella  ¡especial para compartir!
Kuchenes Miller;Monseñor Miller 22, Providencia, Región Metropolitana, Chile;Coca Cola Light 1.5 Litros;Gaseosas
Nos Trattoria;Tomás Moro 1690, Las Condes, 7571521, Región Metropolitana, Chile;Coca-Cola Original 1.5 l;Bebida
The BIG Burgery;Av Vitacura 7125 (LOCAL ROOF BURGER), Vitacura, Región Metropolitana, Chile;RedBull Original 250 ml;Energética
Green Lab;Pío XI 1615, Vitacura, Región Metropolitana, Chile;Pepsi Normal 350 ml;Bebida gasificada
Carnitas;Avenida Pedro de Valdivia 2573, Ñuñoa, Chile;Cubierto Biodegradable;Cubiertos biodegradables
Livorno Restaurante;Av. Presidente Jose Batlle y Ordoñez 3745, Ñuñoa, Región Metropolitana, Chile;Chorrillana Xl;Papas fritas con trozos de carne picada,  trozos de pechuga de pollo dorado, cebolla caramelizada, huevos fritos (porción para 2-3 personas).
Milas;Apoquindo 4400, Local 105, Subcentro, Las Condes;Bebida Del Día 350 ml;Bebida del día, 350 ml.
Cafeteria Arabe Yalla Habibi;Dardignac 431, Recoleta, Región Metropolitana, Chile;Café Árabe 200 gr;Café árabe para preparar en casa.
Chicken Cowboy;Diag. Ote. 1310, Providencia, 7501439, Región Metropolitana, Chile;Sprite Zero 1.5 L;Bebida
Noah sushi;Jose Luis Araneda 20, Ñuñoa;Sprite Zero 350 ml;Bebida
Owen Chase;Santos Dumont 294, Recoleta, Región Metropolitana, Chile;Sprite 355 ml;Gaseosas
Factory Nine;República de Cuba 1730, Providencia, Chile;Paquete Velas Plateadas;Paquete velas plateadas
Momiji Ramen;Loreto 111, Recoleta, Chile;Especial Spicy Miso;Ramen picante con miso, aceite aromatizado de ajo, doble chashu, doble ajitama, mix de verduras de temporada y alga nori.
Havanos Club;Av. Irarrázaval 1053, Ñuñoa, Región Metropolitana, Chile;Sprite Zero 350 ml;Bebida
Burger Big;Dr. Ostornol 0350, Recoleta, Región Metropolitana, Chile;Fanta Naranja 1.5 ml;Bebida
Mr Tex;Av. Ossa 2166, La Reina, 7850000, Región Metropolitana, Chile;Frambuesa;Guallarauco 250cc
Saori Fusión;Gerónimo de Alderete 1121, Vitacura, Santiago, Región Metropolitana, Chile;Pink Tonic;Pink tonic
Gohan Ko;Av. Cristóbal Colón 8669, Las Condes, 7570605, Región Metropolitana, Chile;Salsa de Maiz;Salsa sabor maiz.
Mas Pizza Delivery;Avenida Presidente Jose Batlle y Ordoñez 4413, Ñuñoa, Chile;Aros de Cebolla;12 Aros de cebolla.
Frank's Amazing Burger;Avenida Presidente Kennedy 5413, Vitacura, Las Condes, Chile;Pap;Bebida en lata.
Fuente Barnechea;Avenida Presidente Kennedy 5413, Las Condes, Chile;Pap;Bebida en lata.
American Veggie Hot Dog;Avenida Cristóbal Colón 8669, Las Condes, Santiago, Chile;Snicker Artesanal Xl;Deliciosa y contundente porción  (250 g) de snicker vegano hecho en base a manjar de dátiles, frutos secos, mantequilla de maní y chocolate.
Guaraco Las Condes;Av. Apoquindo 7064, Las Condes, Santiago Metropolitan Region, Chile;Fanta Naranja 350 ml;Bebida
Street Moon;Diagonal Oriente 1310, Providencia, Santiago Metropolitan Region, Chile;Sprite Zero 355 ml;Bebidas
La Casa de Las Hamburguesas;Av. Ossa 2280;Coca-Cola Original 355 ml;Gaseosas
Delucca Bakery And Cakes;Jorge Washington 279, Ñuñoa, Chile;Caja de 12 Macarons Premium Delucca;12 Deliciosos macarons premium de sabor chocolate, frambuesa, limon, pistacho, salt caramel, almendra y vainilla. .
La Brava Mall Plaza el Trebol;Avenida Pedro de Valdivia 50, Providencia, Chile;Coca-Cola Original 1.5 L;Bebida
La Brava Sangucheria Manuel Montt;Av. Manuel Montt 2222, Ñuñoa, Chile;Aros de Cebolla 12 Und;Aros de cebolla 12 unidades.
Pizzeria Latinoamericana;Rancagua 0133Providencia, Chile;Coca-Cola Sin Azúcar 350 ml;Bebida
Shawerma el Baba;Manzano 304, Recoleta, Chile;Bandeja Mixta;Bandeja de 10 dulces árabes.
Happy Days Waffles & Coffee;Alonso de Córdova 5670, Las Condes, Chile;2 Waffles Fiesta en Tu Boca;2 Waffles bañadoz en chocolate, cubierto de maní, manjar y colores.
Puro Sushi;General Holley 2277, Providencia, Chile;Sprite Zero 1.5 L;Bebida
Kimura Sushis;Av. Pedro de Valdivia 2447, Providencia, Chile;Sprite Zero 350 ml;Bebida
Restaurant Peruano Inca Mapu;Seminario 130, 7501139 Santiago, Providencia, Región Metropolitana, Chile;Pulpo Al Olivo;Láminas de pulpo, aliñado con limón de pica, aceite, bañadas con salsa de aceitunas moradas, acompañado de palta.
Sushiken 1;Pedro Donoso Vergara 113, Recoleta, Región Metropolitana, Chile;Furay Oriental;Rollo de 10 bocados con camarón apanado, palta, cebollín envuelto en queso con topping de almendra picada.
Cacao Bakery;Diego de Rosales 1527, Santiago, Región Metropolitana, Chile;Agua Vital Sin Gas 600 Ml.;Aguas
Gabilondo;Merced 346, Santiago, Chile;Pizza Margarita Vegana;Masa semi integral con salsa de tomate, mozzarella vegana, albahaca y aceite de oliva, mediana.
Bombo Burger;Constitución 58, Providencia, Chile;Pepsi Zero 1.5 L;Bebida
Choclo Bowl;Avenida Cristóbal Colón 8669, Las Condes, Santiago Metropolitan Region, Chile;Batido de Cookies And Cream;Batido proteico de cookies and cream, 470 ml.
Chicken Love You;Av. Vitacura 3269, Vitacura, Chile;Calcetines Pollos-man (Negros);Los calcetines más bacanes del mundo. vienen con un mensaje sorpresa en la planta que vas a agradecer 😉.
Pizzeria da Bruno;Triana 857, 7500671 Providencia, Región Metropolitana, Chile;Agua Benedictino Sin Gas 500Ml.;Agua mineral natural sin gas.
Satai Sushi Las Condes;IV Centenario 766, Santiago, Las Condes, Santiago, Chile;Sprite 1.5 L;Bebida
La Bufala;Av. Vitacura 3708, Vitacura, Región Metropolitana, Chile;Pizza Básica Familiar;Pizza con base de tomate san marzano, pizaca de queso pecorino romano y mozzarela fior di latte.
Junta Hambre;Antonia López de Bello 0104, Providencia, Chile;Patagonia Kilometro 24.7 Ipa 355 ml;Cervezas
Charlies Tavern;Av. Irarrázaval 693, Ñuñoa, Región Metropolitana, Chile;RedBull Sugar Free 250 ml;Energética
Space American Veggie;Rancagua 621, n 13, Providencia, Región Metropolitana, Chile;Sprite 350 ml;Bebida.
Silo Pizza Manuel Montt;Av. Manuel Montt 1954, Providencia, Región Metropolitana, Chile;Sprite 1.5 l;Bebida
La Pampeana Pizzas Argentinas;avenida manquehue sur 1231, las condes,;Coca Cola Zero 1,5Lts;Bebida
Ryge Burger;Príncipe de Gales 6540, 7850286 La Reina, Región Metropolitana, Chile;Cuk Suspiro Limeño;Cuk 140 gramos suspiro limeño, producto congelado.
Kobe Sushi;Condell 1368, 7501463 Providencia, Región Metropolitana, Chile;Schweppes Ginger Ale 330 ml;Gaseosas
Rai Sushi Nikkei;Ramón Carnicer 77, Providencia, Región Metropolitana, Chile;Maguro Tropical Sin Arroz;Envuelto en palta relleno en atún, camarón, queso crema, cebollín bañado en salsa acevichada. 10 pzs.
Niu Sushi – Plaza Brasil;Av. Padre Hurtado Sur 1621, Las Condes, Chile;Roll Niu Oreo;Roll de cheesecake de chocolate blanco, con centro de manjar, envuelto en galleta oreo, salsa a elegir.
Naoki;Av. Vitacura 3875, Vitacura, Región Metropolitana, Chile;Cerveza Asahi;Cerveza asahi.
Shabuum;Sta Victoria 365, Santiago, Región Metropolitana, Chile;Pepsi Original 350 ml;Bebida
Churrrits;Av. del Valle Nte. 961, Huechuraba, Región Metropolitana, Chile;Fondue para 2;Chocolate belga y semiamargo servido con frutas de la estación + mini churros + cubitos de waffle + marshmellow.
Fatboys Donuts;Francisco de Aguirre 3669, Vitacura, Chile;Sprite Zero 350 ml;Bebida
Rincon Dulciera;José Manuel Infante 263, Providencia, Chile;Sprite 355 ml;Gaseosas
Pollo Express Santa Isabel;Santa Isabel 321, Santiago, Chile;Camarones Al Ajillo;300 Gramos de camarones acompañados de arroz plátano ensalada .
La Pepiteria Gourmet;Zenteno 990, Santiago, Región Metropolitana, Chile;Pepi Tequeños Coctel;10 Doraditos tequeños con jugoso queso interno, con la exquisita salsa chica sexy.
Casa Hortelana Saludable;Av. Cristóbal Colón 8669, Las Condes, Chile;Benedictino Sin Gas 500 ml;Agua
Graffiti Pizza;Simón Bolívar 4578, Ñuñoa, Región Metropolitana, Chile;Sprite Zero 350 ml;Bebida
Ricca Pizza;Simón Bolívar 4576, Ñuñoa, Chile;Coca Cola Original 1,5 Lts;Bebida
Chiviteria Chiguay;Monseñor Edwards 1963, 7850181 La Reina, Región Metropolitana, Chile;Sprite 355 ml;Gaseosas
La Giraldilla Cafe;Luis Pereira 1456, Ñuñoa, Chile;Waffle Dulce de Leche;Waffle con dulce de leche, marshmallow, chocoramo y azúcar flor.
Il Mastro Cucina Italiano;Buenaventura 1884, Vitacura, Chile;Coca-Cola Original 350 ml;Bebida
History Sandwich;Simón Bolívar 4576, Ñuñoa, Región Metropolitana, Chile;Hashboulitas;Masa asimétrica al estilo napolitano fritas, acompañadas de topping.
MADS'S PIZZA;Moneda 2534, 8350583 Santiago, Región Metropolitana, Chile;Kem 1.5 Lts;Bebida kem 1.5 lts.
Rikarepa;Simón Bolívar 4579, Ñuñoa, Región Metropolitana, Chile;Coca-Cola Sin Azúcar 350 ml;Bebida
Delicias Del Portal;Av. Ossa 1130, 7790307 Ñuñoa, Región Metropolitana, Chile;Jugo de Maracuyá 400 ml;Jugo natural de maracuyá.
Happy Gelato;Av. Alonso de Córdova 5670, las condes;Benedictino Con Gas 500 ml;Agua
Aji Dulce Market;Eliodoro Yañez 1114, Providencia, Chile;Palta;1 kg de palta
Pastelería Fufu;Antonia Lopez de Bello 150, Santiago;Agua Mineral 600 ml con Gas;Agua mineral 600 ml con gas .
El Puro Perú;manuel montt 1574;Cusqueña Dark 330 ml;Cerveza
Gringos Vitacura;Av Vitacura 2908 Las Condes Región Metropolitana;Porción de Schnitzel;Porción de schnitzel  .
Dolce Valentina;Av. Pedro de Valdivia 343, Providencia, Región Metropolitana;Vital Sin Gas 500 ml;Aguas
Holy Cow;carmencita 13 las condes region metropolitana chile;Menu Pasta Alfredo;Menu pasta alfredo
Colaciones 180 Grados;Gral Mackenna 1182, Santiago, Región Metropolitana, Chile_;Fanta Naranja 350 ml;Bebida
Pine Cone Bakery;Av. Portugal 263, Santiago, Chile;Malta Polar 355 ml;Bebida
Vettel Chocolates;mosqueto 403 santiago region metropolitana chile;Cranberry Bañados en Chocolate;Bolsita de cranberry bañadas en chocolate, 150 gr.
Divina Tradición;rosas 1339;Bebidas;Elige tu bebida.
Thimi;José Manuel Infante 15, Providencia, Región Metropolitana, Chile;Amor Limón Limonada Original 475 ml;Jugo
Sazón Guayanes;Sta Elena 1237, Santiago, Región Metropolitana, Chile;Jugo de Papelón con Limón;Vaso de 500 ml .
Señora Chicha Santiago;Eleuterio Ramírez 1009, Santiago, Región Metropolitana, Chile;Patacón Zuliano;Patacón de plátano frito mixto con mechada, pollo, queso llanero, vegetales y salsa de la casa.
ComeFit;Las Clarisas 40, Las Condes, Región Metropolitana, Chile;Solomillo de Pavo en Salsa de Mostaza;Suave solomillo de pavo 150gr, bañado en salsa de mostaza y romero acompañado de arroz basmati.
Chicken What?;Alonso de Córdova 3080, Las Condes;Salsa Cheddar;Salsa cremosa a base de queso cheddar fundido.
El panal andino;Marín 124, Providencia, Región Metropolitana, Chile;Empanada de Pollo y Ají;Pollo, ají, aceitunas, pasas y 1/2 huevo.
Home Burgers Chile;Vicuña Mackenna 1281, Ñuñoa, Santiago, Región Metropolitana, Chile. DPTO 515;Coca-Cola Original 1.5 L;Bebida
Injera;José manuel Infante 1428, providencia santiago de;Baclava Etiope;Baclava version etiope con pistacho.
Naked Food;Escandinavia 18, Las Condes, Región Metropolitana, Chile;Camarones Apanados;8 Camarones apanados.
Chic cuisine;las encinas 2533;Ceviche Mixto con Reineta;Reineta fresca cortada en cubos con mariscos, marinado con limón de pica, servido con cebolla morada cortada en pluma, rodajas de rocoto, bañado y acompañado de nuestros cubos de leche de tigre, choclo peruano, maíz tostado y camote.
Yokomo Sushi Providencia;Seminario 116, Providencia, Región Metropolitana, Chile;Yokomo 70 Piezas;10 Tempura panko relleno de pollo, queso crema y cebollín, 10 tempura panko relleno champiñón, queso crema y cebollín, 10 tempura kanikama, queso crema y cebollín, 10 hosomaki, relleno de palta, 10 hosomaki relleno queso crema, 10 california sesamo, relleno de kanikama y palta, 10 avocados relleno camarón, queso crema y cebollín.
Subway Bandera;Bandera 310, Santiago, Chile;Galleta Doble Chocolate;Galleta de chocolate con chips de chocolate.
Verdi Shop;San Isidro 661, Santiago, Región Metropolitana, Chile;Tropical Vegana;Ensalada con lechuga, aderezo de maracuyá, bolitas falafel, tofu marinado, champiñones, almendra y naranja y durazno, con pan fresco.
Buganvilla Cafe;Tabancura 1348, Vitacura, Las Condes, Región Metropolitana, Chile;Cuchufli Relleno con Manjar 3 Unidades;Exquisito y premium cuchlufli relleno de doble dulce de leche bañados en chocolate negro y blanco.tradicional dulceria oveja negra.
Taller M07;Diag. Rancagua 942, Providencia, Región Metropolitana, Chile;Croissant Nutella;Croissant relleno con 70 gramos de la mejor nutella!.
Chippos;Candelaria Goyenechea 3820, Vitacura, Región Metropolitana, Chile;Porotos con Longaniza;Masa de pasta 88, porotos, zapallo, cebolla, longaniza, aliños..
A Bocanadas;Cueto 855, Santiago, 8350243, Región Metropolitana, Chile;Coca-cola Original 591 ml;Coca-cola original 591 ml.
Noi Siamo Trattoria;Isidora Goyenechea 2800, Las Condes, Región Metropolitana, Chile;Mocaccino;Café con leche y chocolate.
Come Testa;Gral. Bari 130, Providencia, Región Metropolitana, Chile;Sandwich Palta Queso;Palta hass y queso.
Brownie Republic;Av. Nueva Providencia, Providencia, Región Metropolitana, Chile;Brownie Balls Box;Cajita contiene 5 brownie y blondie balls bañadas en chocolate de leche, blanco, gold y rubí.
Fogo Sangucheria;Av. Francisco Bilbao 2012, Providencia, Región Metropolitana, Chile;Coca-Cola Sin Azúcar 355 ml;Gaseosas
Menjar;Av. Independencia 565, 8380538 Santiago, Independencia, Región Metropolitana, Chile , 3er piso patio de comida local platon;Agua;Agua mineral de 500cc
Da Trento Gourmet;Av. Vitacura 7138, 7640560 Vitacura, Región Metropolitana, Chile;Caja 10 Empanadas Mechada Queso;10 empanadas rellenas con mechada aliñada y queso mantecoso.
The Market;Francisco de Aguirre 3570, Vitacura, Chile;Wrap Rúcula;Rucula, Jamon, queso mantecoso, Cebolla Dulce, Tomate.
Patata Chicken;Buenos Aires 338, Recoleta, Santiago, Región Metropolitana, Chile;Mini Pops;Pops de pollo frito pankonizado para 1 a 2 personas y salsas patata chicken de regalo.
Sushirepublic;Constitución 110, 7500000 Providencia, Región Metropolitana, Chile;Sashimi Mixto;9 Cortes de atún y salmón.
Ensalandwichs;Avenida Luis Thayer Ojeda 0131, Providencia, Providencia;Fanta Naranja 330 ml;Gaseosas
Cacao y Manjar;Francisco Noguera 217, Providencia, Región Metropolitana, Chile;Tiramisú Porción;Postre tiramisú con crema de café en soletillas de vainilla, licor de almendras, cacao y chocolate, porción individual.
Sangucado;La Concepción 80, Providencia, Chile;Hamburguesa Luco con Tocino Crispy;Hamburguesa de vacuno 180 gr, aromatizado con especias, semillas de mostaza y salsa inglesa, queso mantecoso, tocino crispy.
La Cocina de Javier;Av Vitacura 7482, Vitacura;Sangría;"La bebida más castiza y típica española con más fama mundial.
."
Lima Mia;Avenida Vitacura 2911, Las Condes, Chile;Canada Dry Ginger Ale Zero 1.5 l;Bebida
FussionArt Pizzeria;Román Díaz 1119;Fussión Green Familiar;Masa delgada a la piedra de 38 cm, base de salsa de tomates, mozzarella, fondos de alcachofa, champiñones, berros, palta y un toque de aceite de oliva.
Cafe Haussmann, Crudo Valdiviano;Cerro el plomo 5630, Las condes local 205;Canada Dry Ginger Ale 350 ml;Bebida
Donde el Criollo;Av. Francisco Bilbao 2839, Providencia;Inca Kola Original 350 ml;Gaseosa
Fries & Bites;Av Providencia 2320;Kem Piña 1.5 l;Bebida
Monkey Dog;Escandinavia 18, Las Condes;Monkey Box 2  XL Veggie;10 tortillas, champiñones, quinoa, queso, cebolla caramelizada, 2 guacamole, papas al hilo, 3 lechugas,  porotos negros, pico de gallo, arroz, 2 cremas ácidas
Sushiban;Av. Vitacura 5480;Cheesecake De Frutos Rojos;Delicioso cheesecake de frutos rojos con topping de coulis de arándanos y frambuesa
FoodGol;Avenida providencia 1110;Cremería Dulce de Frambuesa;Cremería Dulce de Frambuesa.
Hocha;Nueva Providencia 1346;Gua Baos Pollito Frito;Pan de bollo al vapor con pollo frito, conjuntamente de pickles, maní en polvo y un toque de cilantro.
Happy Break Sushi;Antonio Bellet 100, Providencia, Región Metropolitana;Jengibre;Láminas de jengibre .
Eco Sushi;avenida las condes 6716;Pollo broaster;Arroz, papas fritas, pollo apanado.
Doble Queso;Av. Los Leones 40 Providencia;Kit Doble Queso (Pan Sésamo);10 Hamburguesas, 10 panes con sésamo, 20 láminas de queso cheddar, cebolla picada, pepinillos y salsa secreta. todo para preparar en casa.
Ootoya;Constitución 125, providencia;Tako;5 cortes de pulpo .
Tambo;Constitución 50, Patio Bellavista, ingreso por el estacionamiento al -1.;Bebida en lata;350 cc. Elige tu bebida en lata favorita.
Vietnam Discovery;Av Vitacura 4089, Vitacura;Coca Cola Sabor Original Lata 350 ml;350 ml
Rincon Paisano;diagonal rancagua 954, providencia;Mini Shawarma Al Plato;Pollo y carne, acompañado de arroz árabe, lechuga, cebolla morada con especies árabes y salsa de yoghurt.
Maru;(OJO: maru restaurante del subcentro) Av. Apoquindo 4411 Las Condes Región Metropolitana, local 151;Arrollado Huaso 550grs;Arrollado huaso 100% artesanal de la ix región. Producto cocido.
Mango Pastelería 0% Azúcar;Diagonal Rancagua 988;Pan de Pascua 0% Azúcar, Sin Gluten;Pan de pascua 0% azúcar, sólo nueces, sin gluten (podría tener trazas de gluten). elaborado con harina de almendras 100% natural.
The Raj;Av. Manuel Montt 1855, Providencia, Santiago, Chile.;Sprite 350 ml;Bebida
Mi Cevichazo;Las Carretas 2363, La Reina;Inca Kola 450 ml;Gaseosas
Tu Cevichazo;"Cirujano Guzmán 102 (8,83 km)
222359539 Santiago de Chile";Crema Volteada;Crema volteada .
Majestic;Av. Pdte. Kennedy Lateral 5600, local 3, Vitacura, Región Metropolitana;Austral Calafate 330 ml;Cerveza
Tung Fong Guardia Vieja Comida China;Guardia Vieja 35, Providencia, Chile;Te Verde 500 ml;Fria. China Tea
La Maestranza;Av Vitacura 5468;Homy Carrot Cake;Carrot cake con helado de queso crema gourmet.
Pita House;Av Vitacura 5480, Local 80, Vitacura, Región Metropolitana;Caja Cocktail;Dulces árabes de mil hojas relleno con nueces y pistacho. 8 unidades variadas.
MEXA;Av Vitacura 2653, Las Condes, Región Metropolitana, Chile;Cachantun Con Gas 500 ml;Agua
Too Much;Monjitas 640;Menú Almuerzo Gohan Veggie;Plato en base de arroz (Gohan light base de lechuga), champiñón, palmito, palta y queso crema, con aceite de sésamo, sésamo tostado y ciboullette más bebida de lata de 220 cc.
Yokono sushi;Av. Providencia 2220, Providencia, Región Metropolitana, Chile;(pr08) Veggie Champiñón Furai;Roll sin arroz: champiñón furai, pimentones y verduras salteadas, queso crema, cebollín, envuelto en palta y cubierto con alm.
Tokyo Limeño;Av. Simón Bolívar 5156, Santiago, Ñuñoa, Región Metropolitana;Palta;Extra de Palta.
La Yunta;Av. Manuel Montt 748, Providencia;Kunstmann Torobayo 330 ml;Cerveza
Empanadería San Luis;Av. Manuel Montt 2660 Ñuñoa, Región Metropolitana, Chile;Sprite 1.5 Lts;Bebida sprite sabor original 1.5 lts.
Don Bono;Av. Los Leones 712, Santiago, Providencia, Región Metropolitana;Benedictino Sin Gas 500 ml;Agua
Perú Gustoso;Av. Pedro de Valdivia 139, Providencia, Región Metropolitana;Heineken Original 330 ml;Cerveza
Sumo Sushi;Latadia 4214, Las Condes, Chile;Fanta Sin Azúcar 1,5 l;Bebida
Misotorino;SIMON GONZALEZ 7596, LA REINA;Bokkado de Pollo (5 un);Masitas Fritas rellenas de pollo acompañadas de salsa peruana. 5 unidades.
Mazui;Simón Bolívar 5156, local b, Ñuñoa;Sprite Zero 1.5 L;Bebida
TGI Friday's;(ENTREGAR POR CALLE dardignac) Constitución 97, Providencia, Región Metropolitana;Crispy Chicken Fingers;Dedos de pollo rebozados, fritos y servidos con crocantes papas fritas. salsa a elección: bbq o mostaza dulce.
Nanami Restorant;Manquehue sur 31, local 11 B;Coca-Cola Sin Azúcar 350 ml;Bebida
Taringa;Avenida Vitacura 5336 - Vitacura;Jugos Naturales;Jugo natural
Ato Sushi;Alcalde Rafael Vives 32 Providencia;Bebida en Lata 350 cc;Bebida en Lata 350 cc
Tres Toques Sanguchería;Av. Francisco Bilbao 4531, La Reina, Región Metropolitana;Kunstmann Torobayo 330 ml;Cerveza
Nikkei Sushi La Reina;Januario Espinoza 7163 La Reina Región Metropolitana Chile;Salsa Spicy;Salsa de sriracha y mayonesa.
El Aguaruna;Av. Manuel Montt 1574 - Providencia;Estrella Damm 330 ml;Cerveza
Pizza Greene House;Avenida Ossa 492 Ñuñoa;Pizza Full Queso Pepperoni XXL;Pizza Full Queso Pepperoni XXL. Incluye 2 salsas.
Lina Comida Árabe;Dragones de La Reina 647, La Reina, Región Metropolitana, Chile;Dos Porciones de Croquetas de Falafel (8 Unidades);Dos Porciones de Croquetas de Falafel (8 unidades)
Rincón Magdalena;Santa magdalena 15, providencia, Santiago;Propina;Agregar propina para gente del restaurante.
Saffron;Avenida Nueva Costanera 3662-3664, Vitacura;Salmon Fish Dry In Green Masala;Pescado salmón con salsa verde especial de saffron.
Lima 17;Bellavista 0868, Providencia;🥤Bebidas;Bebidas
Moritz Eis;Augusto Leguía Nte 154-180, Las Condes;Coca-Cola Light 355 ml;Bebdias
La Polloteka;AV. APOQUINDO 7256 / LOCAL 5 LAS CONDES.;Juice Ripper Regular 473 ml;Energizantes línea monster.
Abo Sultan;Padre Alonso de Ovalle 874;Jugos (350 cc);Escoge el sabor de tu jugo
Central Sándwich Delivery;Av. Providencia 1110;Cremería Dulce de Frambuesa;Cremería Dulce de Frambuesa.
OK Chicken Delivery;AV.PROVIDENCIA 1110;Cremería Dulce de Frambuesa;Cremería Dulce de Frambuesa.
Felipe Didier;Francisco Bilbao 2795, Providencia;Ravioles de Pollo;Ravioles de pollo , pimenton y queso crema cubiertos con salsa boloñesa
Oh My Sushi;Paul Harris sur 1291 las condes;Coca-Cola Light 1.5 l;Bebida
Pastamore;Las Tranqueras 1471  Vitacura;Tomate Graziella Lata 240 grs;Tomate Graziella Lata 240 grs
Detodito Gourmet;santo domingo 579 santiago;Fanta 350 ml;Bebida.
Kaly Sushi;La Gloria 11 las Condes;Promo 2 Champiñon;Promoción 20 piezas, acompañamiento, bebestible 10 piezas rellenas de queso crema, champiñón panko y cebollín. con envoltura a elección (tempura, panko, ciboulette o sésamo).10 piezas rellenas de queso crema, champiñon panko. envoltura a elección (nori o panko), 4 bolitas de arroz salmón queso .
Jinsei;Condell 1681 Ñuñoa local 1 retirar en local: SABE A LIMA;Oferta Sushi 20 Piezas;Tempura/ kanikama y queso cremacalifornia/ pollo y palta.
Bambinos Pizza;Av chile españa 611, ñuñoa;Palitos de Pepperoni;Palitos de masa horneados con salsa de ajo, queso, pepperoni y orégano.
Shawarmas Moha;San Pio X 2389, Providencia;Fanta Sin Azúcar 350 ml;Bebida
Tokyoto sushi merced;Merced 871, Santiago;Sake;Origen: Corea.
Museo Peruano;Avenida vitacura 7132, vitacura;Pisco Sour;Pisco Sour, unidad
Comida China Sucre;Sucre 2601 con, Villaseca, Ñuñoa, Región Metropolitana, Chile;Chaumen Pollo;Chaumen de tallarines salteados con pollo y cebollin.
Central Pizza;Enrique Mac Iver 478,  Santiago;Canada Dry Ginger Ale 1.5 l;Bebida
C´viche;San Diego 295, Santiago;Combo 5;1pollo entero a la brasa, papas fritas, ensalada, cremas y bebida de 1.5+ 1 porción de arroz chaufa
Sabor al Cuadrado;Brasil 543, Santiago Av. Brasil, Santiago, Región Metropolitana, Chile;Coca-Cola Original 591 ml;Bebida
Ocean Pacifics Esmeralda;Avenida Padre Hurtado Norte 1480, Vitacura;Ceviche de Cochayuyo;Pequeños cortes de cochayuyo, acompañados de mango, pimiento rojo, zanahoria y champiñón.
Sushi Town;alcalde fernando castillo velasco 8751 local 11, la reina;☕Café;Café
Pollo Fast;rosas 2017, santiago;Limón Soda Zero 1.5 l;Bebida
Maloha Sushi y Sándwich;avenida vicuña Mackenna 371;Smoothie Piña Mango;Piña, mango, plátano, jugo de naranja y yogurt
Bululú Café;Girardi 1573, Local 1, Ñuñoa.;Pizzawaffle;Deliciosa  pizza con base de waffle salado,  salsa napolitana , mozarella, jamon y aceitunas negras.
La Makacha;Latadia 4255 Las Condes;Jugo de Chirimoya;Jugo sabor chirimoya.
Himalaya;Avenida Irarrázaval 1820, Ñuñoa;Mix Fried Rice Chef Special ''pl Fondo'';Arroz basmati, salteado con pollo, camarones, huevo, pimentón, cebollín, zanahoria, cebolla, salsa de soya y condimentos.
Pizzeria Italia;Manuel Montt 1046, Providencia;Palitos de Ajo;Nuestra tradicional masa con mantequilla y ajo.
