RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
Qatir Comida Arabe;Las Verbenas 9183, Las Condes, Chile;Torta Qatir Porción;Torta qatir manjar con nuez, porción individual.
Burgerest Good Tasty;Av. Cristóbal Colón 8669, 7570605 Las Condes, Región Metropolitana, Chile;Monster Absolutely Zero 473 ml;Energética
Sushi el Gato Las Condes;Av. Padre Hurtado Sur 960, Las Condes, Región Metropolitana, Chile;Coca-Cola Original 3 l;Bebida
Antonella Bar Vitacura;Av. Vitacura 9263, Vitacura, Chile;Red Bull Yellow 250 ml;Energizantes.
Hocha la Dehesa;Av. José Alcalde Délano 10425, Lo Barnechea, Región Metropolitana, Chile;Fiesta de Durazno;Waffle con durazno
Torta Caluga;Av. la Plaza 1250, Las Condes, Chile;Torta Caluga Almendra 30 Personas;Torta hecha de capas de crumble rellena de caluga de manjar con almendras laminadas
Oggi Gelato;Alonso de Córdova 4226, Vitacura, Chile;Crema Untable;Crema de maní salado, untable.
400 Grados;Nueva Las Condes 12253, 7590956 Las Condes, Región Metropolitana, Chile;Vital Con Gas 600 ml;Agua
McDonald's;Av. Las Condes 12207, Las Condes;Latte;Café de grano con leche
Dunkin';AV. LA DEHESA 1445 L.1032, LO BARNECHEA;Café en Grano Molido Dark Roast;Café Dunkin' molido dark roast, 454 gramos.
Subway;Av. Las condes 12269, L 98;Galleta Doble Chocolate;Galleta de chocolate con chips de chocolate.
La Chocolatine;av vitacura 7269 vitacura;Cannelé;Queque esponjoso, la creme brulee hecha queque..Acaramelizado afuera, con toque vainilla y ron.
Brussels Heart Of Chocolate;Avenida Jose Alcalde Delano 10492, Lo Barnechea, Santiago, Chile, Local 1096;Banana Bread Breakfast;Queque de plátano tostado servido con maple syrup, frutillas y helado de vainilla.
Pronto Copec;Avenida las Condes 12145, Las Condes, Chile;Six Pack Cerveza Sol;Botella long neck 330 ml
Carl's Jr.;Rosario Nte 100 Las Condes Región Metropolitana;Sprite Botella 1.5 Lt;Sprite botella 1.5 lt
Starbucks;Avenida las Condes 13451, Santiago, Las Condes, Chile;Antojo Vegano;Barrita con mantequilla de maní, avena sin gluten, quinoa pop, panela y 55% cacao
Juan Valdez Café;Av. Los Trapenses N° 3515 local 9, Lo Barnechea;Sprite Zero;Sprite zero.
La Mechada Nacional;Av. Apoquindo 5681, local 118, Las Condes, Chile;Mecha-Burrito Chileno;Nuevo Mecha-Burrito Chileno relleno de puro sabor nacional, con ingredientes frescos y de calidad: Tortilla, Queso Fundido, Cebolla Morada, Ají Verde y Carne Mechada
McDonald's Postre;Avenida La Dehesa 1987, Lo Barnechea, Chile;Agua Mineral;Agua mineral sin gas de 600 ml.
Alemán Experto;Avenida La Dehesa #1670, Lo Barnechea;Brownie con Helado;Brownie con helado de vainilla. Calentar en microondas 30 segundos.
