;Nombre Restaurant;URL RESTAURANT
121;Alto Japón;https://www.rappi.cl/restaurantes/900033234-alto-japon
122;Jing Shun Comida China;https://www.rappi.cl/restaurantes/900036131-jing-shun-comida-china
123;Oakberry Açaí;https://www.rappi.cl/restaurantes/900057023-oakberry-acai
124;Chachan;https://www.rappi.cl/restaurantes/900067731-chachan
125;Cursi Donuts;https://www.rappi.cl/restaurantes/900073594-cursi-donuts
126;Wan He;https://www.rappi.cl/restaurantes/900074158-wan-he
127;Yapones Nueva Bilbao;https://www.rappi.cl/restaurantes/900074992-yapones-nueva-bilbao
128;Kansui Ramen;https://www.rappi.cl/restaurantes/900077353-kansui-ramen
129;ChilMex Mexican Grill;https://www.rappi.cl/restaurantes/900014858-chilmex-mexican-grill
130;Nanami Restorant;https://www.rappi.cl/restaurantes/900015129-nanami-restorant
131;Dubai Sushi;https://www.rappi.cl/restaurantes/900015514-dubai-sushi
132;He Hin;https://www.rappi.cl/restaurantes/900018585-he-hin
133;El chimbotano;https://www.rappi.cl/restaurantes/900023500-el-chimbotano
134;Al Jazeera;https://www.rappi.cl/restaurantes/900024646-al-jazeera
135;Comoenlima;https://www.rappi.cl/restaurantes/900029277-comoenlima
136;Yeka;https://www.rappi.cl/restaurantes/900032268-yeka
137;Ensalada Grill Bistro;https://www.rappi.cl/restaurantes/900035403-ensalada-grill-bistro
138;Pasta Grill Premium;https://www.rappi.cl/restaurantes/900035405-pasta-grill-premium
139;Soja Sushi Santiago;https://www.rappi.cl/restaurantes/900068713-soja-sushi-santiago
140;Spicy Food;https://www.rappi.cl/restaurantes/900071294-spicy-food
141;Don Chicken;https://www.rappi.cl/restaurantes/900071551-don-chicken
142;Lasañas Santiago;https://www.rappi.cl/restaurantes/900079608-lasanas-santiago
143;The Pizza Factory;https://www.rappi.cl/restaurantes/334-the-pizza-factory
144;Tea Connection Salads & Sándwiches;https://www.rappi.cl/restaurantes/470-tea-connection-salads-y-sandwiches
145;P.F. Chang's;https://www.rappi.cl/restaurantes/900015008-pf-changs
146;La Sopería;https://www.rappi.cl/restaurantes/900016210-la-soperia
147;Katsumi Sushi & Ceviche;https://www.rappi.cl/restaurantes/900018711-katsumi-sushi-y-ceviche
148;Chicken Factory;https://www.rappi.cl/restaurantes/900023322-chicken-factory
149;La Estrella;https://www.rappi.cl/restaurantes/900028263-la-estrella
150;Sushispop;https://www.rappi.cl/restaurantes/900032792-sushispop
151;mi ceviche;https://www.rappi.cl/restaurantes/900036875-mi-ceviche
152;Rongji Comida China;https://www.rappi.cl/restaurantes/900036958-rongji-comida-china
153;Parrilladas Argentina Rotonda Perez Zujovic;https://www.rappi.cl/restaurantes/900039611-parrilladas-argentina-rotonda-perez
154;Tasty Poke;https://www.rappi.cl/restaurantes/900041000-tasty-poke
155;Tobu Sushi Las Condes;https://www.rappi.cl/restaurantes/900057463-tobu-sushi-las-condes
156;MEXA;https://www.rappi.cl/restaurantes/900014675-mexa
157;Shawarmas Moha;https://www.rappi.cl/restaurantes/900015752-shawarmas-moha
158;Panko;https://www.rappi.cl/restaurantes/900016679-panko
159;Sayonara Urmeneta;https://www.rappi.cl/restaurantes/900020601-sayonara-urmeneta
160;Aomori Nikkei & Sushi;https://www.rappi.cl/restaurantes/900020602-aomori-nikkei-y-sushi
161;I-Mu Sushi & Bar;https://www.rappi.cl/restaurantes/900027497-i-mu-sushi-y-bar
162;Ekos Fusion;https://www.rappi.cl/restaurantes/900027519-ekos-fusion
163;LuYin Comida China;https://www.rappi.cl/restaurantes/900028356-luyin-comida-china
164;Giro Sushi;https://www.rappi.cl/restaurantes/900028464-giro-sushi
165;Del Valle Gourmet Comida Venezolana;https://www.rappi.cl/restaurantes/900030210-del-valle-gourmet-comida-venezolana
166;Helados Fratelli;https://www.rappi.cl/restaurantes/900033039-helados-fratelli
167;Mi Ensalada;https://www.rappi.cl/restaurantes/900036866-mi-ensalada
168;Mi Gohan;https://www.rappi.cl/restaurantes/900037163-mi-gohan
169;Yasai Vegan Sushi.;https://www.rappi.cl/restaurantes/900040656-yasai-vegan-sushi
170;Berlin Döner Kebab;https://www.rappi.cl/restaurantes/900041127-berlin-doner-kebab
171;ACEVICHADO SUSHI;https://www.rappi.cl/restaurantes/900056780-acevichado-sushi
172;Vegan Wok;https://www.rappi.cl/restaurantes/900067620-vegan-wok
173;Peru Clasico Santiago Centro;https://www.rappi.cl/restaurantes/900083371-peru-clasico-santiago-centro
174;Mister Fish;https://www.rappi.cl/restaurantes/402-mister-fish
175;Fukai;https://www.rappi.cl/restaurantes/482-fukai
176;Dominó;https://www.rappi.cl/restaurantes/900015228-domino
177;Saffron;https://www.rappi.cl/restaurantes/900015276-saffron
178;Chevere y Bakan;https://www.rappi.cl/restaurantes/900016030-chevere-y-bakan
179;Grido;https://www.rappi.cl/restaurantes/900016930-grido
180;Teke Factory Fabrica de Tequeños;https://www.rappi.cl/restaurantes/900017547-teke-factory-fabrica-de-tequenos
181;Ajiseco Teatinos 446;https://www.rappi.cl/restaurantes/900018513-ajiseco-teatinos-446
182;Vapiano;https://www.rappi.cl/restaurantes/900021448-vapiano
